timestamp,x,y,z
1606411586260758,0.728516,-0.246094,0.588867
1606411586283696,0.692383,-0.28418,0.59082
1606411586298657,0.649414,-0.247559,0.620117
1606411586323590,0.628906,-0.258301,0.641113
1606411586343537,0.619629,-0.269043,0.715332
1606411586358497,0.618652,-0.339355,0.722656
1606411586383430,0.664551,-0.338379,0.705078
1606411586413350,0.687012,-0.297363,0.656738
1606411586423324,0.695313,-0.319824,0.580078
1606411586444267,0.721191,-0.34375,0.525391
1606411586464214,0.752441,-0.316406,0.462402
1606411586478177,0.82666,-0.330078,0.463379
1606411586502113,0.880371,-0.31543,0.507324
1606411586541010,0.865234,-0.360352,0.553223
1606411586546993,0.859863,-0.372559,0.555664
1606411586561954,0.754883,-0.368164,0.591309
1606411586583895,0.730469,-0.337402,0.710938
1606411586598855,0.692383,-0.299805,0.713379
1606411586620796,0.680176,-0.238281,0.691895
1606411586643735,0.603516,-0.158691,0.591797
1606411586658695,0.657715,-0.739258,0.684082
1606411586680636,0.58252,-0.943848,0.727051
1606411586703575,0.528809,-0.889648,0.719238
1606411586718535,0.397461,-0.76709,0.637695
1606411586740477,0.324219,-0.65918,0.556641
1606411586763415,0.26123,-0.548828,0.507813
1606411586778375,0.0390625,-0.497559,0.508301
1606411586801313,-0.174805,-0.664063,0.560059
1606411586823257,-0.106934,-0.893066,0.563965
1606411586838217,-0.0263672,-0.97998,0.520996
1606411586861157,0.0444336,-0.85498,0.477051
1606411586883094,0.0112305,-0.664551,0.411621
1606411586898054,0.0458984,-0.592285,0.425781
1606411586920993,0.150391,-0.625488,0.47168
1606411586951910,0.233887,-0.604004,0.555176
1606411586957894,0.0947266,-0.998047,0.674805
1606411586980833,0.646973,-1.8501,1.1582
1606411587011750,0.121582,-0.919922,0.952637
1606411587018731,-0.0561523,-0.368164,0.725098
1606411587040673,0.146973,-0.552246,0.693848
1606411587063611,0.39502,-0.831543,0.668945
1606411587081564,0.501465,-0.788086,0.575684
1606411587100513,0.525879,-0.706055,0.513672
1606411587123452,0.531738,-0.662109,0.440918
1606411587138412,0.52832,-0.653809,0.39209
1606411587169329,0.506836,-0.70459,0.369629
1606411587183295,0.504883,-0.775391,0.354004
1606411587200250,0.517578,-0.777832,0.354004
1606411587221194,0.554199,-0.746582,0.372559
1606411587243136,0.57373,-0.693848,0.395996
1606411587259094,0.584961,-0.65918,0.396484
1606411587282028,0.600098,-0.634766,0.406738
1606411587303969,0.602051,-0.617676,0.398926
1606411587317932,0.842285,-0.600586,0.507813
1606411587341868,0.600586,-1.09033,0.197266
1606411587363809,1.01025,-0.525879,0.674805
1606411587378769,0.487793,-0.700195,0.109863
1606411587401708,0.97998,-0.33252,0.710938
1606411587423650,0.525879,-0.938965,-0.100098
1606411587438609,1.04541,-0.557129,0.720703
1606411587461548,0.521484,-0.803223,-0.0146484
