timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1606411586421328,7,110,-5,-63,-21,37,27,-31
1606411586421328,-8,-40,2,40,16,-5,-31,12
1606411586422326,3,-75,-8,-21,20,-20,-7,17
1606411586422326,14,9,-2,1,-11,-4,30,-2
1606411586422326,0,71,21,47,4,25,9,-23
1606411586422326,-6,-11,-15,-72,-14,-9,-31,-3
1606411586426316,6,-53,-8,-24,12,-13,-4,12
1606411586426316,-2,-10,3,56,9,-10,-33,-1
1606411586433296,8,72,7,-5,-20,33,84,-4
1606411586433296,-9,-7,3,-17,-15,-4,6,-7
1606411586445265,-1,-52,0,18,-2,-31,-76,6
1606411586445265,12,-9,-3,-11,-6,-4,24,7
1606411586456235,-7,57,0,7,-14,29,8,-6
1606411586456235,6,-11,-1,26,15,-4,-17,8
1606411586465212,13,-47,2,45,14,-5,0,6
1606411586465212,7,19,-1,-38,-8,-6,-30,-18
1606411586473190,-10,32,-10,-9,-3,1,-40,-12
1606411586473190,8,-15,-2,-67,7,9,57,18
1606411586488152,44,-18,-7,-12,-4,-9,-5,-5
1606411586488152,-48,6,1,9,2,13,31,11
1606411586493138,9,10,8,38,5,-6,-48,-15
1606411586493138,-23,-18,-11,-58,-9,-3,31,4
1606411586542008,-1,69,-2,-35,1,33,48,0
1606411586542008,-9,-61,-4,39,11,-16,-27,1
1606411586543005,3,-44,2,-13,7,-19,-47,0
1606411586543005,-1,12,1,-15,-8,-2,0,6
1606411586544004,-4,66,4,-9,-8,21,41,-14
1606411586544004,-9,-18,0,1,1,-1,-10,6
1606411586547080,18,-43,-10,11,6,-9,-2,-3
1606411586547080,-5,-8,6,-29,-1,-5,-7,6
1606411586552977,6,53,5,21,-10,10,-2,-12
1606411586552977,-4,-1,-23,-35,-7,1,-13,6
1606411586561954,-9,-42,19,42,-1,-16,-8,4
1606411586561954,1,15,-3,-3,2,1,9,-13
1606411586567937,-1,34,3,17,-5,11,-1,-10
1606411586567937,3,-16,0,-22,3,-7,9,7
1606411586584893,-13,-21,-13,21,0,-8,-4,6
1606411586584893,8,17,-3,4,1,6,8,-4
1606411586590876,-8,14,-13,-30,-8,0,-10,-7
1606411586590876,0,-16,9,-5,0,-5,-13,2
1606411586605836,0,-6,1,-2,1,-3,9,8
1606411586605836,0,12,9,11,0,-1,8,-9
1606411586613815,0,-1,-11,-17,0,6,-14,-6
1606411586613815,1,-10,-1,41,10,-4,5,2
1606411586628776,3,9,8,-92,-11,-3,9,4
1606411586628776,0,6,-7,13,14,7,-2,-4
1606411586629773,-2,-12,16,-4,-7,-6,-12,-3
1606411586629773,4,8,-6,-60,14,7,6,6
1606411586651714,-6,5,-5,-17,1,0,5,2
1606411586651714,-2,-5,-9,19,-3,-4,-1,-4
1606411586652712,1,-3,2,5,-6,-1,1,1
1606411586652712,0,-8,12,42,-3,2,5,-2
1606411586673655,0,1,-7,-30,-5,-7,1,-1
1606411586673655,0,15,0,-3,-2,11,-1,0
1606411586674654,2,-18,-19,27,8,4,-1,0
1606411586674654,-1,4,27,5,-4,-3,-2,2
1606411586690610,2,7,-13,4,1,1,5,-4
1606411586690610,-6,-8,-18,-17,-13,-4,-5,-5
1606411586691608,-1,-9,7,38,8,-9,-4,0
1606411586691608,0,-4,-1,-12,-7,-10,-1,0
1606411586711554,-2,3,-28,31,9,14,4,-3
1606411586711554,10,10,23,-6,-2,5,2,-4
1606411586712552,0,-19,-20,-17,-3,-8,-2,4
1606411586712552,-3,8,-3,-25,-6,-5,-6,-7
1606411586734495,28,9,-3,46,-1,5,27,10
1606411586734495,-4,12,5,2,3,2,-10,-2
1606411586734495,4,-20,-5,14,-1,-15,-13,3
1606411586734495,2,18,15,-15,-9,-1,11,-2
1606411586749452,-11,-4,-12,-9,3,8,-8,-6
1606411586749452,-2,0,-8,28,2,-2,4,2
1606411586749452,5,-11,26,0,-1,-7,6,2
1606411586749452,-2,-6,-40,-2,-11,-1,-5,-2
1606411586771394,-5,2,2,8,0,3,-7,-6
1606411586771394,1,8,19,-15,-6,-9,3,0
1606411586772392,-7,-15,-18,-12,4,-4,-7,3
1606411586772392,0,-8,-7,8,-1,0,1,-3
1606411586794394,-7,2,6,-20,2,1,-7,-9
1606411586794394,0,-9,17,16,-6,-6,-21,1
1606411586795330,2,0,1,-13,-1,5,29,8
1606411586795330,-5,14,40,-4,2,-2,-12,-2
1606411586809291,2,4,-31,1,-7,-6,-2,-2
1606411586809291,-5,-4,38,11,8,-1,-13,-3
1606411586810290,-3,-16,34,34,-3,-3,-12,1
1606411586810290,4,16,-6,-68,-6,5,12,0
1606411586831236,-6,11,25,64,1,0,-4,-8
1606411586831236,-2,-12,-19,-11,-3,-4,1,2
1606411586832230,-3,-11,-9,24,7,-5,-4,1
1606411586832230,0,2,1,-15,4,3,8,-3
1606411586854174,-4,6,24,42,6,3,-2,1
1606411586854174,-1,-7,-21,-21,-7,7,13,0
1606411586855172,3,-5,3,-26,-1,-4,-10,-3
1606411586855172,9,-7,-18,11,5,-1,-2,1
1606411586869131,8,10,0,-11,-11,-3,3,-1
1606411586869131,-1,-2,-2,38,6,4,6,0
1606411586870129,6,-13,-10,-35,2,-7,-7,5
1606411586870129,-3,-2,0,22,-7,1,0,-4
1606411586891073,-3,3,-2,-22,-1,2,-2,-1
1606411586891073,-8,-6,-6,-6,1,-3,7,-3
1606411586892071,0,-2,-8,-11,-7,-4,-20,0
1606411586892071,-10,1,-8,4,3,-1,6,3
1606411586914012,-4,3,10,5,-6,3,2,-4
1606411586914012,1,-3,-18,-32,-6,-1,4,0
1606411586915009,-12,-9,7,25,9,-5,-2,-5
1606411586915009,56,0,-6,9,-8,-1,5,4
1606411586927974,-36,7,-2,-27,-3,0,10,-8
1606411586927974,-5,-19,-5,1,3,1,-10,3
1606411586935953,-29,6,-7,-12,0,-8,-11,0
1606411586935953,28,1,2,18,0,-3,-3,-8
1606411586952907,-11,-1,6,-16,-1,2,5,-5
1606411586952907,-3,7,-8,-3,0,-1,4,-1
1606411586953905,-13,-29,-3,2,0,0,2,7
1606411586953905,-17,6,6,10,0,-2,-10,-2
1606411586973852,10,19,0,-11,-1,0,-2,4
1606411586973852,-6,9,-2,2,-1,0,9,0
1606411586974849,1,-9,-1,-4,-3,-5,-7,-3
1606411586974849,-35,-22,-2,2,2,0,2,-5
1606411586988811,10,5,-5,-8,-1,-2,-1,4
