timestamp,x,y,z
1606411586260758,-18.125,-33.875,-6.3125
1606411586283696,-11.4375,-34,-4.125
1606411586298657,-3,-30.1875,-0.8125
1606411586323590,-4.5,-25.6875,1.9375
1606411586343537,-7.0625,-20.625,2.4375
1606411586358497,-9.0625,-15.125,3
1606411586383430,-7.625,-12.3125,4.25
1606411586413350,-14.125,-12.0625,4.5
1606411586423324,-25.625,-13.125,4.5
1606411586444267,-34.375,-16.5,7.625
1606411586464214,-43.5625,-23.4375,14.6875
1606411586478177,-52.5,-29.8125,23.1875
1606411586502113,-61.4375,-31.1875,31.5
1606411586541010,-64.375,-34.8125,42.8125
1606411586546993,-71.4375,-35.5,53.3125
1606411586561954,-74.1875,-38.375,62.875
1606411586583895,-76.125,-42.9375,80.1875
1606411586598855,-76.75,-47,99.8125
1606411586620796,-119.313,-41.25,111.188
1606411586643735,-145.375,-49.0625,118.5
1606411586658695,-161.25,-36.625,99.375
1606411586680636,-64.6875,-17.375,76.125
1606411586703575,23.75,11.8125,61.8125
1606411586718535,60.875,35.6875,44.25
1606411586740477,55.875,44.1875,32.1875
1606411586763415,15.25,47,17.6875
1606411586778375,-44.625,35.25,-1.5625
1606411586801313,-85.8125,15.9375,-17.0625
1606411586823257,-100.875,5.25,-36.75
1606411586838217,-67.625,7.6875,-56.875
1606411586861157,-5.3125,15.3125,-69.6875
1606411586883094,24.625,10.5625,-75.125
1606411586898054,3.625,-3.9375,-76.8125
1606411586920993,-35,-19.3125,-71
1606411586951910,-54.375,-28.0625,-61.4375
1606411586957894,-51,-36.1875,-54.0625
1606411586980833,-51.0625,3.0625,14.625
1606411587011750,42.5,22.125,40.9375
1606411587018731,-7.6875,13.9375,38.5
1606411587040673,-64.75,-5.3125,36.0625
1606411587063611,-40,-17.1875,31.4375
1606411587081564,21.1875,-18.125,19.5
1606411587100513,42.5,-14.6875,14.5
1606411587123452,31.6875,-19.5,13.875
1606411587138412,10,-26.4375,12.375
1606411587169329,-4.6875,-32.625,8.8125
1606411587183295,-2.6875,-40,6.4375
1606411587200250,11.875,-48.375,1.5625
1606411587221194,24.0625,-53.625,-4.25
1606411587243136,25.9375,-53.25,-8.4375
1606411587259094,16.4375,-50,-10.3125
1606411587282028,3.9375,-45.8125,-12.9375
1606411587303969,-4.3125,-41.0625,-19.125
1606411587317932,-1.375,-35.9375,-25.75
1606411587341868,3.625,-13.375,-24.3125
1606411587363809,9.4375,4.9375,-13.5625
1606411587378769,-2.9375,7.375,-7.5
1606411587401708,-32.5625,6.8125,-11.8125
1606411587423650,-25.125,2.8125,-15.5625
1606411587438609,4.375,7.875,-19.75
1606411587461548,13.9375,4.3125,-20.0625
1606411587484487,-1.4375,6.75,-14
1606411587498449,-9.75,-5.375,-8.1875
1606411587529367,-3.625,-7.5,-3
1606411587543329,21.3125,-6,-0.6875
1606411587561281,38.5,-1.5625,5.0625
1606411587582225,34.5625,8.6875,16.25
1606411587603172,13.8125,21.75,24.6875
1606411587618132,-2.75,34.4375,29.4375
1606411587641069,-17.3125,52.4375,32.3125
1606411587663010,-24.8125,71.75,35.875
1606411587678968,-34.6875,78.25,34.0625
1606411587701906,-32.3125,79.1875,43.0625
1606411587726854,-19.6875,85.6875,59.6875
1606411587738808,3.8125,109.125,65.8125
1606411587760750,15,131.563,72.5625
1606411587792667,24.0625,145.688,85.375
1606411587806626,33.1875,154.25,100.625
1606411587820589,31.75,160.438,111.188
1606411587843527,28.4375,165.688,119.125
1606411587859663,35.125,168.688,129.313
1606411587880431,54.0625,169.813,142.688
1606411587903367,80.625,170.875,151.5
1606411587920322,90.4375,166.75,154.938
1606411587941265,85.0625,162.313,157.375
1606411587965205,93.6875,157.125,158.063
1606411587980165,102.375,148.75,156.688
1606411588004098,105.375,140.188,152.5
1606411588023049,106.125,126.938,149.188
1606411588040003,105.438,109.875,142.938
1606411588060946,104,97.0625,134.875
1606411588084887,99.625,83.5,126.688
1606411588099843,103.688,74.1875,116.813
1606411588120789,96.6875,62,104.313
1606411588143725,74.9375,50.1875,91.3125
1606411588159685,63.625,41.3125,80.0625
1606411588183624,57.5,34,72.1875
1606411588203564,47.4375,27.875,62.125
1606411588221521,40.125,21.5625,50.75
1606411588243458,32.375,16.0625,38.75
1606411588263404,18.1875,10.4375,30.0625
1606411588281356,11.6875,9.4375,24.1875
1606411588304295,10.625,8.3125,18.625
1606411588323247,8.875,7.625,14.4375
1606411588341196,5.5625,7.5625,11.75
1606411588364135,0.6875,5.3125,10.125
1606411588383085,0.5625,3.6875,9.375
1606411588401037,0.3125,5.625,8.125
1606411588423975,4.375,1.75,9.3125
1606411588442924,3.8125,10.75,7.625
1606411588461880,6.9375,-0.4375,2.75
1606411588483816,4.375,9.8125,1
1606411588503762,2.8125,-2.875,-1.6875
1606411588528696,-0.8125,2.125,-5.6875
1606411588543656,1.9375,1.9375,-7
