timestamp,x,y,z,w
1606411586260758,0.0809937,-0.329712,0.61853,0.708557
1606411586283696,0.0847168,-0.336975,0.61615,0.706787
1606411586298657,0.0886841,-0.34198,0.614929,0.704956
1606411586323590,0.0915527,-0.346313,0.614075,0.703186
1606411586343537,0.0931396,-0.349731,0.613525,0.701843
1606411586358497,0.0932617,-0.352966,0.613098,0.700562
1606411586383430,0.0934448,-0.356018,0.612793,0.69928
1606411586413350,0.0935059,-0.359924,0.611816,0.698059
1606411586423324,0.0922241,-0.365784,0.610046,0.696777
1606411586444267,0.0901489,-0.373596,0.607788,0.694885
1606411586464214,0.0878296,-0.383545,0.605347,0.691895
1606411586478177,0.0848999,-0.395508,0.602905,0.687622
1606411586502113,0.0809937,-0.408142,0.600525,0.682739
1606411586541010,0.0758057,-0.421082,0.599365,0.676514
1606411586546993,0.0690308,-0.434509,0.598816,0.669189
1606411586561954,0.0609741,-0.447388,0.599426,0.660889
1606411586583895,0.052002,-0.459412,0.60199,0.651001
1606411586598855,0.0421143,-0.471313,0.606506,0.638855
1606411586620796,0.0247192,-0.488525,0.608521,0.624878
1606411586643735,0.00476074,-0.50885,0.608398,0.608948
1606411586658695,-0.017334,-0.529175,0.604492,0.595154
1606411586680636,-0.0309448,-0.535339,0.608154,0.585327
1606411586703575,-0.0369873,-0.529053,0.618164,0.580078
1606411586718535,-0.0402832,-0.516602,0.629517,0.578918
1606411586740477,-0.0437622,-0.50415,0.638672,0.579651
1606411586763415,-0.0501099,-0.495972,0.642517,0.58197
1606411586778375,-0.0608521,-0.49469,0.640198,0.584534
1606411586801313,-0.0748291,-0.499207,0.634216,0.585632
1606411586823257,-0.0839844,-0.509521,0.622314,0.588257
1606411586838217,-0.0923462,-0.514709,0.613281,0.591919
1606411586861157,-0.0926514,-0.513062,0.607727,0.598999
1606411586883094,-0.0881348,-0.508728,0.604004,0.607117
1606411586898054,-0.0834961,-0.507874,0.598267,0.614075
1606411586920993,-0.0813599,-0.512634,0.5896,0.618774
1606411586951910,-0.0804443,-0.519531,0.580322,0.621948
1606411586957894,-0.0826416,-0.52594,0.573975,0.622131
1606411586980833,-0.0955811,-0.526733,0.574951,0.618713
1606411587011750,-0.100464,-0.51355,0.587036,0.617676
1606411587018731,-0.107605,-0.506348,0.593628,0.616089
1606411587040673,-0.118103,-0.508728,0.594299,0.611511
1606411587063611,-0.123962,-0.511841,0.595825,0.606323
1606411587081564,-0.121216,-0.510193,0.600525,0.603577
1606411587100513,-0.115662,-0.506592,0.606079,0.602234
1606411587123452,-0.110474,-0.505188,0.610229,0.600098
1606411587138412,-0.106812,-0.507263,0.612305,0.596924
1606411587169329,-0.104187,-0.51178,0.612915,0.592896
1606411587183295,-0.100891,-0.517029,0.613586,0.588196
1606411587200250,-0.0947266,-0.521606,0.615173,0.583496
1606411587221194,-0.0858154,-0.525269,0.61731,0.579346
1606411587243136,-0.0759277,-0.528381,0.61908,0.575928
1606411587259094,-0.0669556,-0.531982,0.619751,0.573059
1606411587282028,-0.0593262,-0.536316,0.618896,0.57074
1606411587303969,-0.0524292,-0.541016,0.616577,0.569519
1606411587317932,-0.0432129,-0.544495,0.61322,0.570557
1606411587341868,-0.0415649,-0.548584,0.610718,0.569458
1606411587363809,-0.0351563,-0.545471,0.609192,0.574585
1606411587378769,-0.036377,-0.547424,0.607239,0.574585
1606411587401708,-0.0335693,-0.547546,0.601929,0.580261
1606411587423650,-0.0373535,-0.554871,0.596497,0.578674
1606411587438609,-0.0313721,-0.551636,0.593994,0.584717
1606411587461548,-0.0301514,-0.553589,0.592102,0.584778
1606411587484487,-0.0278931,-0.554932,0.588806,0.586914
1606411587498449,-0.0276489,-0.557556,0.586609,0.58667
1606411587529367,-0.0281372,-0.559753,0.585999,0.585205
1606411587543329,-0.0267334,-0.558838,0.588379,0.58374
1606411587561281,-0.024231,-0.555176,0.593079,0.582642
1606411587582225,-0.0238037,-0.549927,0.598633,0.581909
1606411587603172,-0.0305786,-0.546387,0.60376,0.579651
1606411587618132,-0.0384521,-0.540588,0.607971,0.5802
1606411587641069,-0.0467529,-0.533936,0.609863,0.583801
1606411587663010,-0.0595093,-0.528076,0.610657,0.587036
1606411587678968,-0.0739746,-0.523438,0.609802,0.590454
1606411587701906,-0.0888672,-0.519104,0.609436,0.592651
1606411587726854,-0.103577,-0.512573,0.611145,0.594177
1606411587738808,-0.120178,-0.499817,0.615845,0.596985
1606411587760750,-0.138611,-0.483154,0.62146,0.600891
1606411587792667,-0.158691,-0.463379,0.628418,0.604309
1606411587806626,-0.179871,-0.440796,0.636841,0.606384
1606411587820589,-0.202515,-0.416931,0.645386,0.607117
1606411587843527,-0.226501,-0.392212,0.653564,0.606384
1606411587859663,-0.25061,-0.365662,0.66217,0.604187
1606411587880431,-0.273376,-0.335815,0.672302,0.600403
1606411587903367,-0.293579,-0.301636,0.683777,0.595947
1606411587920322,-0.312012,-0.26593,0.695251,0.590393
1606411587941265,-0.330017,-0.230652,0.705688,0.582947
1606411587965205,-0.346008,-0.194458,0.715576,0.574768
1606411587980165,-0.359497,-0.157532,0.724976,0.565918
1606411588004098,-0.370911,-0.120972,0.733398,0.556641
1606411588023049,-0.379944,-0.0853271,0.741272,0.546631
1606411588040003,-0.386292,-0.0515747,0.748657,0.536255
1606411588060946,-0.390442,-0.0196533,0.755188,0.526123
1606411588084887,-0.392883,0.00994873,0.760986,0.516113
1606411588099843,-0.393311,0.0386353,0.765869,0.507202
1606411588120789,-0.392456,0.0648193,0.769897,0.498962
1606411588143725,-0.392578,0.0876465,0.773254,0.490112
1606411588159685,-0.392273,0.106628,0.776001,0.482239
1606411588183624,-0.391296,0.123718,0.778442,0.474976
1606411588203564,-0.390442,0.138367,0.780396,0.468323
1606411588221521,-0.389404,0.15094,0.781982,0.462646
1606411588243458,-0.388367,0.161316,0.78302,0.458191
1606411588263404,-0.387573,0.168335,0.784241,0.454224
1606411588281356,-0.387268,0.173279,0.785217,0.450989
1606411588304295,-0.386963,0.177246,0.785828,0.448608
1606411588323247,-0.386536,0.18042,0.786316,0.446838
1606411588341196,-0.386658,0.183044,0.786621,0.445129
1606411588364135,-0.386841,0.184509,0.787109,0.443481
1606411588383085,-0.386841,0.185791,0.787659,0.442017
1606411588401037,-0.386963,0.186768,0.788086,0.440735
1606411588423975,-0.386169,0.188477,0.788696,0.439514
1606411588442924,-0.385193,0.190063,0.789368,0.438599
1606411588461880,-0.386414,0.192383,0.788513,0.438049
